id,latitude,longitude,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
1,48.195387,-117.13623,0,0,0,0,0,0,0,2,1,4
2,48.195387,-114.719238,6,7,6,11,8,9,11,19,22,23
3,48.195387,-112.126465,0,1,0,0,1,0,1,1,1,1
4,48.195387,-109.313965,0,0,0,0,0,0,0,0,0,0
5,48.195387,-106.479492,0,0,0,0,0,0,0,0,0,0
6,47.23449,-117.13623,0,0,1,0,0,2,2,3,3,4
7,47.23449,-114.719238,3,6,11,10,10,7,8,16,22,22
8,47.23449,-112.126465,0,3,2,1,2,2,2,1,2,8
9,47.23449,-109.313965,0,0,0,0,0,0,0,0,0,0
10,47.23449,-106.479492,0,0,0,0,0,0,0,0,0,0
11,45.996962,-117.13623,0,0,0,0,1,2,2,5,5,4
12,45.996962,-114.719238,2,2,5,9,13,16,25,30,37,35
13,45.996962,-112.126465,1,3,2,4,3,1,3,4,3,3
14,45.996962,-109.313965,0,0,0,1,1,1,3,1,0,2
15,45.996962,-106.479492,0,1,0,0,1,0,0,0,0,0
16,44.684277,-117.13623,0,0,2,3,3,7,9,8,8,9
17,44.684277,-114.719238,8,9,9,7,14,15,16,23,25,25
18,44.684277,-112.126465,4,9,13,16,21,25,20,18,19,26
19,44.684277,-109.313965,3,5,6,7,8,8,13,9,9,13
20,44.684277,-106.479492,0,0,0,0,0,0,0,0,0,0
21,43.389082,-117.13623,0,0,0,0,1,1,1,2,4,3
22,43.389082,-114.719238,1,3,1,2,2,6,7,8,11,9
23,43.389082,-112.126465,3,3,2,2,2,3,5,10,12,12
24,43.389082,-109.313965,0,1,4,4,8,6,4,14,11,13
25,43.389082,-106.479492,0,0,0,0,1,0,0,1,0,1
